user_id,user_age,user_gender,member_level,register_days,device_type,city_tier,is_vip,total_order_num,month_order_avg,week_visit_cnt,cart_add_cnt,collect_goods_num,return_order_num,refund_times,cross_shop_order,promo_order_ratio,silence_days,total_consume,avg_order_price,max_single_order,min_single_order,discount_save_money,coupon_use_cnt,redbag_income,high_price_goods_ratio,low_price_goods_ratio,logistics_extra_cost,good_comment_cnt,bad_comment_cnt,live_watch_duration,short_video_click,consult_service_cnt,share_product_cnt,popup_click_rate,search_word_cnt,repurchase_label
1,54.0,1.0,0.0,245.0,3.0,0.0,0.0,22.0,2.6938775510204085,3.0,17.0,21.0,1.0,0.0,1.0,0.5883400194108399,171.0,17.858826261316267,0.8117647931614306,759.0112228425369,14.21979211576621,37.02718571053254,4.0,22.077295271735096,0.0,0.18973076731538058,9.595218369218607,3.0,0.0,1.9291296049952062,15.0,1.0,10.0,0.3093066389505676,22.0,0
2,44.0,1.0,2.0,550.0,1.0,2.0,0.0,20.0,1.090909090909091,5.0,9.0,6.0,0.0,0.0,2.0,0.7303667074376449,73.0,31.92967001872085,1.5964834211118712,249.70546879218324,37.3747254605981,70.4518331203287,3.0,22.05616943014188,0.30571506659881476,0.7740322522019644,11.7762555609848,0.0,1.0,1.1372608004866125,5.0,1.0,5.0,0.3976431011732413,29.0,0
3,30.0,1.0,1.0,728.0,3.0,3.0,0.0,78.0,3.2142857142857144,14.0,18.0,44.0,1.0,0.0,13.0,0.1535260632267702,206.0,57.292375862350426,0.7345176298440103,175.16867542349397,18.214345165856123,143.66646121103983,13.0,30.626169200999232,0.27334682078378647,0.44644131649983587,4.859027541512914,,0.0,38.631869107929575,20.0,0.0,1.0,0.27438228561723715,11.0,1
4,58.0,1.0,1.0,639.0,3.0,0.0,0.0,19.0,0.892018779342723,15.0,1.0,10.0,0.0,0.0,11.0,0.544281975886789,128.0,229.51866949557893,12.079929337665767,26.248764024790567,20.517044615532857,215.2962694898056,7.0,7.509982978570137,0.0,0.34655034796451434,3.9836594762786293,18.0,0.0,9.412983977931555,12.0,1.0,4.0,0.1982470159661806,1.0,0
5,23.0,0.0,1.0,584.0,2.0,0.0,0.0,62.0,3.184931506849315,2.0,6.0,9.0,1.0,1.0,1.0,0.44401442715775985,23.0,103.61723525322847,1.671245702935206,30.570107132617828,18.024705271630815,4.281190486318351,7.0,22.97684788722604,0.48018157712106413,,0.9586194446691154,10.0,1.0,27.642589583472514,34.0,1.0,0.0,0.015124447718412287,103.0,1
6,36.0,0.0,2.0,226.0,2.0,2.0,0.0,8.0,1.0619469026548674,7.0,3.0,3.0,0.0,0.0,5.0,0.8644549421704371,127.0,29.852272404331536,3.7315335840997443,413.1475296080009,10.728422434958832,30.906732071474785,5.0,81.25948880292816,0.528190611525738,0.1702784596484227,6.1295187243523,3.0,0.0,21.677302723183573,6.0,2.0,2.0,0.22430970640336648,0.0,0
7,54.0,1.0,0.0,827.0,2.0,1.0,0.0,42.0,1.5235792019347039,4.0,22.0,1.0,0.0,0.0,0.0,0.53743884149577,114.0,5995.779123220535,142.75664239199747,400.5925827007361,17.871005676810796,9.040351453661469,5.0,62.69147078011318,0.7171493175033312,0.15246174885830555,8.19282485909436,0.0,0.0,19.234897246838937,28.0,2.0,2.0,0.022869135251786604,7.0,1
8,34.0,1.0,1.0,441.0,2.0,2.0,1.0,44.0,2.993197278911565,4.0,5.0,4.0,0.0,1.0,14.0,0.5818670357196282,135.0,237.0955179467734,5.388534376323615,513.344849184917,32.16795097407174,35.10500276941468,13.0,44.19482627771337,0.5749589967497978,0.2648682681284195,3.579487548451523,0.0,0.0,3.3977136950909896,22.0,0.0,6.0,0.029394727947118587,10.0,1
9,38.0,0.0,1.0,1498.0,1.0,1.0,0.0,6.0,0.12016021361815755,18.0,22.0,34.0,0.0,1.0,5.0,0.46522259612520445,82.0,11.614004200967752,1.9356670442167847,12.20491081043908,50.38269997410996,4.122800192849453,33.0,19.927419379535667,0.0,0.2858136235364742,6.773007703906819,2.0,0.0,34.63505105809958,2.0,0.0,1.0,0.6004837564602731,24.0,1
10,26.0,0.0,0.0,1468.0,0.0,0.0,0.0,3.0,0.06130790190735695,3.0,6.0,7.0,0.0,0.0,2.0,0.250295063480904,29.0,534.3862922722465,178.1287047145139,1.9214859755881422,17.029587956879098,27.0167232411863,23.0,10.730937090246758,0.4958992290473154,0.29398058441958264,4.078436643743165,2.0,0.0,84.02478929528841,7.0,0.0,2.0,0.07809371084948186,36.0,1
